input,target
The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.,"The Dursleys really were astonishingly stupid about their son, Dudley."
"None of them noticed a large, tawny owl flutter past the window.",Nothing flew out of them; the sky was empty but for a few distant owls fluttering around the Owlery tower.
He got into his car and backed out of number fourâ€™s drive.,So great was his discomfort that he almost forgot to take a last glimpse of number four Privet Drive .
"There was a tabby cat standing on the corner of Privet Drive, but there wasnâ€™t a map in sight.","It was now reading the sign that said Privet Drive â€” no, looking at the sign; cats couldnâ€™t read maps or signs."
What could he have been thinking of?,What was I thinking?'
What could he have been thinking of?,He hadn't thought of that.
What could he have been thinking of?,But if he had rememberedâ€¦ if he had thought about itâ€¦ what would he have expected?
What could he have been thinking of?,Was he imagining things?
It stared back.,Harry stared at it.
"It was now reading the sign that said Privet Drive â€” no, looking at the sign; cats couldnâ€™t read maps or signs.","There was a tabby cat standing on the corner of Privet Drive, but there wasnâ€™t a map in sight."
People in cloaks.,Mysterious people in cloaks all over the place?
People in cloaks.,Big and wearing cloaks.'
People in cloaks.,badges on their cloaks.
People in cloaks.,Weâ€™re wearing the Invisibility Cloak.
They were whispering excitedly together.,They were whispering excitedly together.
They were whispering excitedly together.,They were talking quietly together.
The nerve of him!,His nerve had failed him.
Most of them had never seen an owl even at nighttime.,"Although owls normally hunt at night and are hardly ever seen in daylight, there have been hundreds of sightings of these birds flying in every direction since sunrise."
"He didnâ€™t know why, but they made him uneasy.","He kept telling himself that their plan was good, that Griphook knew what they were facing, that they were well-prepared for all the difficulties they were likely to encounter, yet still he felt uneasy."
"He didnâ€™t know why, but they made him uneasy.","Harry didn't know why, but the lack of obstacles was unnerving him."
Fear flooded him.,He was afraid of it.
Mr. Dursley stood rooted to the spot.,Harry stood rooted to the spot.
Mr. Dursley stood rooted to the spot.,"He and Mr Weasley took the lead across the station towards the Dursleys, who were apparently rooted to the floor."
He was rattled.,He was shaking.
â€œShoo!â€ said Mr. Dursley loudly.,MR. DURSLEY!
â€œShoo!â€ said Mr. Dursley loudly.,Mr. Dursley wondered.
The cat didnâ€™t move.,It didnâ€™t move.
The cat didnâ€™t move.,It didnâ€™t move.
The cat didnâ€™t move.,It did not move.
The cat didnâ€™t move.,Harry didn't move.
It just gave him a stern look.,Hermione cast him a stern look.
Mr. Dursley wondered.,MR. DURSLEY!
Mr. Dursley wondered.,You must be Mr. Dursley.
Mr. Dursley wondered.,Mr. Dursley tried to act normally.
Mr. Dursley wondered.,â€œShoo!â€ said Mr. Dursley loudly.
"Trying to pull himself together, he let himself into the house.",Harry tried to pull himself together.
"Trying to pull himself together, he let himself into the house.",Then he seemed to pull himself together.
"Trying to pull himself together, he let himself into the house.","Yeah, of course,â€ he said, pulling himself together."
Mr. Dursley tried to act normally.,MR. DURSLEY!
Mr. Dursley tried to act normally.,Mr. Dursley wondered.
Mr. Dursley tried to act normally.,You must be Mr. Dursley.
"Although owls normally hunt at night and are hardly ever seen in daylight, there have been hundreds of sightings of these birds flying in every direction since sunrise.",Most of them had never seen an owl even at nighttime.
"Although owls normally hunt at night and are hardly ever seen in daylight, there have been hundreds of sightings of these birds flying in every direction since sunrise.",Owls flying by daylight?
â€œMost mysterious.,This was most mysterious.
Owls flying by daylight?,"Although owls normally hunt at night and are hardly ever seen in daylight, there have been hundreds of sightings of these birds flying in every direction since sunrise."
Mysterious people in cloaks all over the place?,People in cloaks.
It was no good.,"It was really good, wasn't it?'"
It was no good.,'It is not good!'
He cleared his throat nervously.,He cleared his throat.
He cleared his throat nervously.,Harry cleared his throat.
He cleared his throat nervously.,Dumbledore cleared his throat.
He cleared his throat nervously.,If --â€ He cleared his throat.
"â€œNo,â€ she said sharply.",â€œWell?â€ she said sharply.
"â€œNo,â€ she said sharply.",he said sharply.
"â€œNo,â€ she said sharply.","â€œNo,â€ she said."
â€œWhatâ€™s his name again?,â€œWho's there?â€ he called again.
"Howard, isnâ€™t it?â€

â€œHarry.","â€œIsnâ€™t it, Harry?"
It was staring down Privet Drive as though it were waiting for something.,It was a few seconds before he realized that Privet Drive had vanished.
Was he imagining things?,He was surely dreaming.
Was he imagining things?,What could he have been thinking of?
Nothing like this man had ever been seen on Privet Drive.,The castle felt more like home than Privet Drive ever had.
"His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.","Dumbledoreâ€™s long silver hair and beard, the piercingly blue eyes behind half-moon spectacles, the crooked nose: Everything was as he had remembered it."
"His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.","He had several feet of long silver hair and beard, half-moon spectacles and an extremely crooked nose."
"His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice.","He wore half-moon glasses, had a long, crooked nose, and flowing silver hair, beard, and mustache."
This manâ€™s name was Albus Dumbledore.,â€œMy name is Albus Dumbledore.
This manâ€™s name was Albus Dumbledore.,Underneath the picture was the name Albus Dumbledore.
This manâ€™s name was Albus Dumbledore.,Was it Albus Dumbledore?
It seemed to be a silver cigarette lighter.,"'Got it,' he muttered, raising what looked like a silver cigarette lighter into the air and clicking it."
The nearest street lamp went out with a little pop.,The nearest streetlamp went out with a pop.
"â€œFancy seeing you here, Professor McGonagall.â€

He turned to smile at the tabby, but it had gone.",â€˜I see â€¦â€™ said Professor McGonagall.
Her black hair was drawn into a tight bun.,"The mother, Kendra, had jet black hair pulled into a high bun."
Her black hair was drawn into a tight bun.,"Harry could see what was funny this time: Professor McGonagall, with her hair in a tight bun, looked as though she had never let her hair down in any sense."
